FedEx Ground Standard List Rates,,,,,,,,,,
"Effective 01/05/2009",,,,,,,,,,

Weight,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,To Hawaii,To Puerto Rico,Intra Oahu,To Alaska,To Canada,To Canada,From Hawaii,From Hawaii,Intra Alaska,Alaska to US,Alaska to US
,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9,Zone 10,Zone 14,Zone 17,Zone 51,Zone 54,Zone 92,Zone 96,Zone 22,Zone 23,Zone 25
61,$13.89 ,$17.30 ,$20.12 ,$24.79 ,$30.59 ,$36.71 ,$43.59 ,$129.70 ,$129.70 ,$8.89 ,$129.70 ,$57.00 ,$76.35 ,$62.93 ,$72.55 ,$14.75 ,$62.93 ,$72.55 
62,$13.99 ,$17.44 ,$20.30 ,$25.00 ,$30.81 ,$36.93 ,$43.86 ,$131.84 ,$131.84 ,$9.05 ,$131.84 ,$57.00 ,$76.35 ,$63.51 ,$73.16 ,$14.94 ,$63.51 ,$73.16 
63,$14.11 ,$17.61 ,$20.49 ,$25.21 ,$31.00 ,$37.17 ,$44.12 ,$133.97 ,$133.97 ,$9.16 ,$133.97 ,$58.05 ,$77.75 ,$64.07 ,$73.79 ,$15.14 ,$64.07 ,$73.79 
64,$14.23 ,$17.79 ,$20.70 ,$25.40 ,$31.22 ,$37.42 ,$44.38 ,$136.21 ,$136.21 ,$9.30 ,$136.21 ,$58.05 ,$77.75 ,$64.60 ,$74.39 ,$15.34 ,$64.60 ,$74.39 
65,$14.35 ,$17.99 ,$20.95 ,$25.57 ,$31.50 ,$37.62 ,$44.65 ,$138.45 ,$138.45 ,$9.46 ,$138.45 ,$58.85 ,$79.10 ,$65.14 ,$75.04 ,$15.54 ,$65.14 ,$75.04 
66,$14.46 ,$18.21 ,$21.18 ,$25.74 ,$31.82 ,$37.80 ,$44.97 ,$140.58 ,$140.58 ,$9.57 ,$140.58 ,$58.85 ,$79.10 ,$65.62 ,$75.65 ,$15.73 ,$65.62 ,$75.65 
67,$14.58 ,$18.40 ,$21.39 ,$25.89 ,$32.07 ,$37.98 ,$45.09 ,$142.71 ,$142.71 ,$9.72 ,$142.71 ,$59.80 ,$80.60 ,$66.12 ,$76.28 ,$15.93 ,$66.12 ,$76.28 
68,$14.70 ,$18.59 ,$21.59 ,$26.04 ,$32.24 ,$38.19 ,$45.19 ,$144.76 ,$144.76 ,$9.84 ,$144.76 ,$59.80 ,$80.60 ,$66.59 ,$76.92 ,$16.13 ,$66.59 ,$76.92 
69,$14.82 ,$18.77 ,$21.79 ,$26.19 ,$32.41 ,$38.40 ,$45.31 ,$146.87 ,$146.87 ,$10.00 ,$146.87 ,$60.70 ,$82.00 ,$67.10 ,$77.53 ,$16.32 ,$67.10 ,$77.53 
70,$14.93 ,$18.95 ,$22.01 ,$26.34 ,$32.55 ,$38.61 ,$45.42 ,$149.01 ,$149.01 ,$10.13 ,$149.01 ,$60.70 ,$82.00 ,$67.60 ,$78.15 ,$16.52 ,$67.60 ,$78.15 
71,$15.38 ,$19.36 ,$22.13 ,$26.62 ,$32.81 ,$38.72 ,$45.58 ,$151.57 ,$151.57 ,$10.27 ,$151.57 ,$61.60 ,$83.45 ,$68.07 ,$78.77 ,$16.70 ,$68.07 ,$78.77 
72,$16.18 ,$20.13 ,$22.50 ,$27.17 ,$33.36 ,$39.25 ,$45.79 ,$154.13 ,$154.13 ,$10.83 ,$154.13 ,$61.60 ,$83.45 ,$68.58 ,$79.40 ,$17.26 ,$68.58 ,$79.40 
73,$16.96 ,$20.83 ,$22.88 ,$27.68 ,$33.99 ,$39.93 ,$46.00 ,$156.69 ,$156.69 ,$11.39 ,$156.69 ,$62.55 ,$85.20 ,$69.07 ,$80.03 ,$17.83 ,$69.07 ,$80.03 
74,$17.75 ,$21.53 ,$23.56 ,$28.38 ,$34.59 ,$40.63 ,$46.21 ,$158.71 ,$158.71 ,$11.96 ,$158.71 ,$62.55 ,$85.20 ,$69.64 ,$80.64 ,$18.39 ,$69.64 ,$80.64 
75,$18.55 ,$22.26 ,$24.24 ,$29.11 ,$35.16 ,$41.36 ,$46.42 ,$160.53 ,$160.53 ,$12.51 ,$160.53 ,$63.45 ,$86.95 ,$70.26 ,$81.28 ,$18.96 ,$70.26 ,$81.28 
76,$19.25 ,$22.92 ,$24.83 ,$29.68 ,$35.68 ,$42.13 ,$46.63 ,$162.34 ,$162.34 ,$13.08 ,$162.34 ,$63.45 ,$86.95 ,$70.92 ,$81.91 ,$19.52 ,$70.92 ,$81.91 
77,$20.00 ,$23.57 ,$25.43 ,$30.27 ,$36.31 ,$42.91 ,$46.84 ,$164.16 ,$164.16 ,$13.63 ,$164.16 ,$64.20 ,$88.60 ,$71.52 ,$82.55 ,$20.09 ,$71.52 ,$82.55 
78,$20.71 ,$24.20 ,$26.01 ,$30.83 ,$36.94 ,$43.64 ,$47.18 ,$166.09 ,$166.09 ,$14.19 ,$166.09 ,$64.20 ,$88.60 ,$72.24 ,$83.15 ,$20.65 ,$72.24 ,$83.15 
79,$21.44 ,$24.86 ,$26.70 ,$31.53 ,$37.21 ,$44.01 ,$47.57 ,$166.28 ,$166.28 ,$14.75 ,$166.28 ,$65.00 ,$90.60 ,$72.97 ,$83.79 ,$21.22 ,$72.97 ,$83.79 
80,$22.23 ,$25.58 ,$27.38 ,$32.20 ,$37.83 ,$44.19 ,$47.96 ,$168.18 ,$168.18 ,$15.31 ,$168.18 ,$65.00 ,$90.60 ,$73.64 ,$84.41 ,$21.78 ,$73.64 ,$84.41 
81,$22.74 ,$26.12 ,$28.05 ,$32.67 ,$38.34 ,$44.80 ,$48.25 ,$170.09 ,$170.09 ,$15.86 ,$170.09 ,$65.65 ,$92.70 ,$74.36 ,$85.04 ,$22.34 ,$74.36 ,$85.04 
82,$23.51 ,$26.76 ,$28.73 ,$33.31 ,$38.83 ,$45.42 ,$48.80 ,$172.11 ,$172.11 ,$16.43 ,$172.11 ,$65.65 ,$92.70 ,$74.99 ,$85.66 ,$22.91 ,$74.99 ,$85.66 
83,$24.31 ,$27.31 ,$29.41 ,$33.97 ,$39.43 ,$46.03 ,$49.36 ,$174.00 ,$174.00 ,$16.99 ,$174.00 ,$66.45 ,$94.75 ,$75.62 ,$86.30 ,$23.48 ,$75.62 ,$86.30 
