FedEx Ground Retail Counter Rates ,,,,,,,,,,
"Effective 01/05/2009",,,,,,,,,,

,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,To Hawaii,Intra Oahu,To Alaska,From Hawaii,From Hawaii,Intra Alaska,Alaska to US,Alaska to US
Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9,Zone 14,Zone 17,Zone 92,Zone 96,Zone 22,Zone 23,Zone 25
65,$18.84 ,$23.62 ,$27.50 ,$33.58 ,$41.35 ,$49.39 ,$58.62 ,$181.77 ,$12.02 ,$181.77 ,$82.74 ,$95.32 ,$19.73 ,$82.74 ,$95.32 
66,$18.99 ,$23.91 ,$27.81 ,$33.79 ,$41.77 ,$49.63 ,$59.05 ,$184.56 ,$12.16 ,$184.56 ,$83.35 ,$96.10 ,$19.98 ,$83.35 ,$96.10 
67,$19.14 ,$24.16 ,$28.09 ,$33.99 ,$42.10 ,$49.87 ,$59.20 ,$187.36 ,$12.35 ,$187.36 ,$84.00 ,$96.90 ,$20.23 ,$84.00 ,$96.90 
68,$19.30 ,$24.40 ,$28.35 ,$34.19 ,$42.33 ,$50.14 ,$59.34 ,$190.06 ,$12.50 ,$190.06 ,$84.59 ,$97.71 ,$20.49 ,$84.59 ,$97.71 
69,$19.45 ,$24.64 ,$28.61 ,$34.38 ,$42.55 ,$50.42 ,$59.49 ,$192.82 ,$12.70 ,$192.82 ,$85.23 ,$98.48 ,$20.73 ,$85.23 ,$98.48 
70,$19.61 ,$24.88 ,$28.89 ,$34.58 ,$42.74 ,$50.70 ,$59.62 ,$195.64 ,$12.87 ,$195.64 ,$85.87 ,$99.28 ,$20.99 ,$85.87 ,$99.28 
71,$20.26 ,$25.48 ,$29.11 ,$35.01 ,$43.15 ,$50.90 ,$59.90 ,$199.00 ,$13.05 ,$199.00 ,$86.47 ,$100.06 ,$21.21 ,$86.47 ,$100.06 
72,$21.31 ,$26.50 ,$29.60 ,$35.74 ,$43.87 ,$51.60 ,$60.18 ,$202.36 ,$13.77 ,$202.36 ,$87.11 ,$100.87 ,$21.93 ,$87.11 ,$100.87 
73,$22.33 ,$27.40 ,$30.10 ,$36.40 ,$44.69 ,$52.50 ,$60.45 ,$205.72 ,$14.47 ,$205.72 ,$87.73 ,$101.65 ,$22.66 ,$87.73 ,$101.65 
74,$23.37 ,$28.34 ,$31.00 ,$37.33 ,$45.49 ,$53.41 ,$60.73 ,$208.38 ,$15.19 ,$208.38 ,$88.46 ,$102.44 ,$23.36 ,$88.46 ,$102.44 
75,$24.43 ,$29.29 ,$31.89 ,$38.28 ,$46.22 ,$54.37 ,$61.01 ,$210.76 ,$15.88 ,$210.76 ,$89.25 ,$103.24 ,$24.08 ,$89.25 ,$103.24 
76,$25.34 ,$30.15 ,$32.66 ,$39.02 ,$46.91 ,$55.38 ,$61.29 ,$213.15 ,$16.61 ,$213.15 ,$90.08 ,$104.05 ,$24.80 ,$90.08 ,$104.05 
77,$26.32 ,$31.01 ,$33.45 ,$39.81 ,$47.74 ,$56.40 ,$61.56 ,$215.52 ,$17.31 ,$215.52 ,$90.86 ,$104.86 ,$25.51 ,$90.86 ,$104.86 
78,$27.26 ,$31.84 ,$34.21 ,$40.54 ,$48.56 ,$57.36 ,$62.00 ,$218.06 ,$18.03 ,$218.06 ,$91.77 ,$105.62 ,$26.23 ,$91.77 ,$105.62 
79,$28.21 ,$32.71 ,$35.13 ,$41.45 ,$48.91 ,$57.84 ,$62.52 ,$218.31 ,$18.74 ,$218.31 ,$92.68 ,$106.43 ,$26.96 ,$92.68 ,$106.43 
80,$29.25 ,$33.65 ,$36.01 ,$42.34 ,$49.73 ,$58.09 ,$63.03 ,$220.81 ,$19.45 ,$220.81 ,$93.55 ,$107.22 ,$27.67 ,$93.55 ,$107.22 
81,$29.92 ,$34.36 ,$36.90 ,$42.96 ,$50.40 ,$58.89 ,$63.41 ,$223.32 ,$20.16 ,$223.32 ,$94.46 ,$108.02 ,$28.38 ,$94.46 ,$108.02 
82,$30.94 ,$35.19 ,$37.78 ,$43.80 ,$51.05 ,$59.70 ,$64.14 ,$225.96 ,$20.86 ,$225.96 ,$95.25 ,$108.82 ,$29.10 ,$95.25 ,$108.82 
83,$31.99 ,$35.92 ,$38.67 ,$44.66 ,$51.84 ,$60.50 ,$64.88 ,$228.45 ,$21.58 ,$228.45 ,$96.06 ,$109.62 ,$29.82 ,$96.06 ,$109.62 
84,$33.04 ,$36.79 ,$39.52 ,$45.52 ,$52.63 ,$61.24 ,$65.60 ,$231.07 ,$22.27 ,$231.07 ,$96.88 ,$110.40 ,$30.54 ,$96.88 ,$110.40 
85,$33.97 ,$37.68 ,$40.35 ,$46.37 ,$53.41 ,$61.92 ,$66.34 ,$233.73 ,$23.00 ,$233.73 ,$97.68 ,$111.20 ,$31.26 ,$97.68 ,$111.20 
86,$35.03 ,$38.52 ,$41.21 ,$47.24 ,$54.17 ,$62.57 ,$67.08 ,$236.21 ,$23.70 ,$236.21 ,$98.58 ,$111.98 ,$31.97 ,$98.58 ,$111.98 
87,$36.04 ,$39.43 ,$42.19 ,$48.09 ,$54.86 ,$63.22 ,$67.80 ,$238.86 ,$24.42 ,$238.86 ,$99.46 ,$112.80 ,$32.68 ,$99.46 ,$112.80 
88,$37.17 ,$40.34 ,$43.06 ,$48.94 ,$55.58 ,$63.88 ,$68.56 ,$241.49 ,$25.13 ,$241.49 ,$100.35 ,$113.55 ,$33.41 ,$100.35 ,$113.55 
