FedEx Express U.S. Package Retail Counter Rates: FedEx Standard Overnight®,,,,,,,,,,
"Effective 01/05/2009",,,,,,,,,,

Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8, Zone 9-10 , Zone 11-12 ,Zone 13-16
103,$145.23 ,$213.21 ,$366.68 ,$389.34 ,$413.03 ,$440.84 ,$457.32 ,$468.65 ,-,$300.76 
104,$146.64 ,$215.28 ,$370.24 ,$393.12 ,$417.04 ,$445.12 ,$461.76 ,$473.20 ,-,$303.68 
105,$148.05 ,$217.35 ,$373.80 ,$396.90 ,$421.05 ,$449.40 ,$466.20 ,$477.75 ,-,$306.60 
106,$149.46 ,$219.42 ,$377.36 ,$400.68 ,$425.06 ,$453.68 ,$470.64 ,$482.30 ,-,$309.52 
107,$150.87 ,$221.49 ,$380.92 ,$404.46 ,$429.07 ,$457.96 ,$475.08 ,$486.85 ,-,$312.44 
108,$152.28 ,$223.56 ,$384.48 ,$408.24 ,$433.08 ,$462.24 ,$479.52 ,$491.40 ,-,$315.36 
109,$153.69 ,$225.63 ,$388.04 ,$412.02 ,$437.09 ,$466.52 ,$483.96 ,$495.95 ,-,$318.28 
110,$155.10 ,$227.70 ,$391.60 ,$415.80 ,$441.10 ,$470.80 ,$488.40 ,$500.50 ,-,$321.20 
111,$156.51 ,$229.77 ,$395.16 ,$419.58 ,$445.11 ,$475.08 ,$492.84 ,$505.05 ,-,$324.12 
112,$157.92 ,$231.84 ,$398.72 ,$423.36 ,$449.12 ,$479.36 ,$497.28 ,$509.60 ,-,$327.04 
113,$159.33 ,$233.91 ,$402.28 ,$427.14 ,$453.13 ,$483.64 ,$501.72 ,$514.15 ,-,$329.96 
114,$160.74 ,$235.98 ,$405.84 ,$430.92 ,$457.14 ,$487.92 ,$506.16 ,$518.70 ,-,$332.88 
115,$162.15 ,$238.05 ,$409.40 ,$434.70 ,$461.15 ,$492.20 ,$510.60 ,$523.25 ,-,$335.80 
116,$163.56 ,$240.12 ,$412.96 ,$438.48 ,$465.16 ,$496.48 ,$515.04 ,$527.80 ,-,$338.72 
117,$164.97 ,$242.19 ,$416.52 ,$442.26 ,$469.17 ,$500.76 ,$519.48 ,$532.35 ,-,$341.64 
118,$166.38 ,$244.26 ,$420.08 ,$446.04 ,$473.18 ,$505.04 ,$523.92 ,$536.90 ,-,$344.56 
119,$167.79 ,$246.33 ,$423.64 ,$449.82 ,$477.19 ,$509.32 ,$528.36 ,$541.45 ,-,$347.48 
120,$169.20 ,$248.40 ,$427.20 ,$453.60 ,$481.20 ,$513.60 ,$532.80 ,$546.00 ,-,$350.40 
121,$170.61 ,$250.47 ,$430.76 ,$457.38 ,$485.21 ,$517.88 ,$537.24 ,$550.55 ,-,$353.32 
122,$172.02 ,$252.54 ,$434.32 ,$461.16 ,$489.22 ,$522.16 ,$541.68 ,$555.10 ,-,$356.24 
123,$173.43 ,$254.61 ,$437.88 ,$464.94 ,$493.23 ,$526.44 ,$546.12 ,$559.65 ,-,$359.16 
124,$174.84 ,$256.68 ,$441.44 ,$468.72 ,$497.24 ,$530.72 ,$550.56 ,$564.20 ,-,$362.08 
125,$176.25 ,$258.75 ,$445.00 ,$472.50 ,$501.25 ,$535.00 ,$555.00 ,$568.75 ,-,$365.00 
126,$177.66 ,$260.82 ,$448.56 ,$476.28 ,$505.26 ,$539.28 ,$559.44 ,$573.30 ,-,$367.92 
127,$179.07 ,$262.89 ,$452.12 ,$480.06 ,$509.27 ,$543.56 ,$563.88 ,$577.85 ,-,$370.84 
128,$180.48 ,$264.96 ,$455.68 ,$483.84 ,$513.28 ,$547.84 ,$568.32 ,$582.40 ,-,$373.76 
129,$181.89 ,$267.03 ,$459.24 ,$487.62 ,$517.29 ,$552.12 ,$572.76 ,$586.95 ,-,$376.68 
130,$183.30 ,$269.10 ,$462.80 ,$491.40 ,$521.30 ,$556.40 ,$577.20 ,$591.50 ,-,$379.60 
131,$184.71 ,$271.17 ,$466.36 ,$495.18 ,$525.31 ,$560.68 ,$581.64 ,$596.05 ,-,$382.52 
132,$186.12 ,$273.24 ,$469.92 ,$498.96 ,$529.32 ,$564.96 ,$586.08 ,$600.60 ,-,$385.44 
133,$187.53 ,$275.31 ,$473.48 ,$502.74 ,$533.33 ,$569.24 ,$590.52 ,$605.15 ,-,$388.36 
134,$188.94 ,$277.38 ,$477.04 ,$506.52 ,$537.34 ,$573.52 ,$594.96 ,$609.70 ,-,$391.28 
135,$190.35 ,$279.45 ,$480.60 ,$510.30 ,$541.35 ,$577.80 ,$599.40 ,$614.25 ,-,$394.20 
136,$191.76 ,$281.52 ,$484.16 ,$514.08 ,$545.36 ,$582.08 ,$603.84 ,$618.80 ,-,$397.12 
137,$193.17 ,$283.59 ,$487.72 ,$517.86 ,$549.37 ,$586.36 ,$608.28 ,$623.35 ,-,$400.04 
138,$194.58 ,$285.66 ,$491.28 ,$521.64 ,$553.38 ,$590.64 ,$612.72 ,$627.90 ,-,$402.96 
139,$195.99 ,$287.73 ,$494.84 ,$525.42 ,$557.39 ,$594.92 ,$617.16 ,$632.45 ,-,$405.88 
140,$197.40 ,$289.80 ,$498.40 ,$529.20 ,$561.40 ,$599.20 ,$621.60 ,$637.00 ,-,$408.80 
141,$198.81 ,$291.87 ,$501.96 ,$532.98 ,$565.41 ,$603.48 ,$626.04 ,$641.55 ,-,$411.72 
142,$200.22 ,$293.94 ,$505.52 ,$536.76 ,$569.42 ,$607.76 ,$630.48 ,$646.10 ,-,$414.64 
143,$201.63 ,$296.01 ,$509.08 ,$540.54 ,$573.43 ,$612.04 ,$634.92 ,$650.65 ,-,$417.56 
144,$203.04 ,$298.08 ,$512.64 ,$544.32 ,$577.44 ,$616.32 ,$639.36 ,$655.20 ,-,$420.48 
145,$204.45 ,$300.15 ,$516.20 ,$548.10 ,$581.45 ,$620.60 ,$643.80 ,$659.75 ,-,$423.40 
146,$205.86 ,$302.22 ,$519.76 ,$551.88 ,$585.46 ,$624.88 ,$648.24 ,$664.30 ,-,$426.32 
